id,date,amount,comment,categoryId,accountId,currencyId
1,2019-08-29 00:00:00,2000,,6,1,1
2,2019-08-29 00:00:00,4500,,6,1,1
3,2019-08-29 00:00:00,10100,,17,1,1
4,2019-08-29 00:00:00,4500,,6,1,1
5,2019-08-30 00:00:00,2000,,6,1,1
6,2019-08-30 00:00:00,4500,,6,1,1
7,2019-08-30 00:00:00,4500,,6,1,1
8,2019-08-30 00:00:00,5700,,17,1,1
9,2019-08-30 00:00:00,70000,,18,1,1
10,2019-08-31 00:00:00,2000,,6,1,1
11,2019-08-31 00:00:00,83200,,19,1,1
12,2019-08-31 00:00:00,2000,,6,1,1
13,2019-08-31 00:00:00,8400,,19,1,1
14,2019-09-02 00:00:00,2000,,6,1,1
15,2019-09-02 00:00:00,4500,,6,1,1
16,2019-09-02 00:00:00,10700,,17,1,1
17,2019-09-02 00:00:00,4500,,6,1,1
18,2019-09-02 00:00:00,2000,,6,1,1
19,2019-09-02 00:00:00,12200,,20,1,1
20,2019-09-02 00:00:00,20000,,19,1,1
21,2019-09-03 00:00:00,2000,,6,1,1
22,2019-09-03 00:00:00,4500,,6,1,1
23,2019-09-03 00:00:00,9200,,17,1,1
24,2019-09-03 00:00:00,4500,,6,1,1
25,2019-09-03 00:00:00,2000,,6,1,1
26,2019-09-04 00:00:00,2000,,6,1,1
27,2019-09-04 00:00:00,4500,,6,1,1
28,2019-09-04 00:00:00,10700,,17,1,1
29,2019-09-04 00:00:00,4500,,6,1,1
30,2019-09-04 00:00:00,2000,,6,1,1
31,2019-09-04 00:00:00,61200,,19,1,1
32,2019-09-05 00:00:00,2000,,6,1,1
33,2019-09-05 00:00:00,4500,,6,1,1
34,2019-09-05 00:00:00,45000,теле2,4,2,1
35,2019-09-05 00:00:00,10000,би,4,1,1
36,2019-09-05 00:00:00,5100,,17,1,1
37,2019-09-05 00:00:00,4500,,6,1,1
38,2019-09-06 00:00:00,2000,,6,1,1
39,2019-09-06 00:00:00,4500,,6,1,1
40,2019-09-06 00:00:00,11600,,17,1,1
41,2019-09-06 00:00:00,4500,,6,1,1
42,2019-09-06 00:00:00,1973000,,14,1,1
43,2019-09-07 00:00:00,10000,Такси,6,1,1
44,2019-09-08 00:00:00,700000,аренда,3,1,1
45,2019-09-08 00:00:00,65000,,19,1,1
46,2019-09-09 00:00:00,2000,,6,1,1
47,2019-09-09 00:00:00,4500,,6,1,1
48,2019-09-09 00:00:00,5300,,17,1,1
49,2019-09-09 00:00:00,4500,,6,1,1
50,2019-09-09 00:00:00,2000,,6,1,1
51,2019-09-09 00:00:00,35000,цветы,13,1,1
52,2019-09-09 00:00:00,2000,,6,1,1
53,2019-09-09 00:00:00,2000,,6,1,1
54,2019-09-10 00:00:00,2000,,6,1,1
55,2019-09-10 00:00:00,4500,,6,1,1
56,2019-09-10 00:00:00,6800,,17,1,1
57,2019-09-10 00:00:00,4500,,6,1,1
58,2019-09-10 00:00:00,2000,,6,1,1
59,2019-09-10 00:00:00,39400,,19,1,1
60,2019-09-10 00:00:00,30800,,19,1,1
61,2019-09-11 00:00:00,2000,,6,1,1
62,2019-09-11 00:00:00,4500,,6,1,1
63,2019-09-11 00:00:00,8700,,17,1,1
64,2019-09-11 00:00:00,4500,,6,1,1
65,2019-09-11 00:00:00,2000,,6,1,1
66,2019-09-12 00:00:00,2000,,6,1,1
67,2019-09-12 00:00:00,4500,,6,1,1
68,2019-09-12 00:00:00,11500,,17,1,1
69,2019-09-12 00:00:00,4500,,6,1,1
70,2019-09-12 00:00:00,2000,,6,1,1
71,2019-09-12 00:00:00,65000,шланг для стиралки,20,1,1
72,2019-09-13 00:00:00,6300,,17,1,1
73,2019-09-13 00:00:00,2000,,6,1,1
74,2019-09-13 00:00:00,4500,,6,1,1
75,2019-09-14 00:00:00,4500,,6,1,1
76,2019-09-14 00:00:00,2000,,6,1,1
77,2019-09-14 00:00:00,45000,,19,1,1
78,2019-09-15 00:00:00,2000,,6,1,1
79,2019-09-15 00:00:00,160000,,19,1,1
